twsentiment,text
positive,"RT @realRoseIzzo: Outstanding Mr Trump! #TrumpWins &gt;@DanScavino: #GOPDebate Winner!
Drudge 50% 
TIME 46%
FOXSD @realDonaldTrump http://t.co…"
negative,RT @ashleyhblake: YOU CANNOT WAVE YOUR UNBORN BABIES DESERVE CONSTITUTIONAL PROTECTION FLAG &amp
negative,"@walkermorin wait, you mean the #gopdebate wasn't the new Fox comedy?"
neutral,RT @FrankLuntz: Greta's viewers overwhelmingly picked @CarlyFiorina as the winner of tonight's early #GOPDebate. http://t.co/quUDXKxdrs
negative,"RT @HarboTweets: ""I am the only candidate that would make a suitable cartoon villain.""
#Trump #GOPDebate"
negative,How did Fox manage to suck its own dick while giving a rim job to Facebook and jerking off Donald trump at the same time? #GOPDebate
neutral,"#GOPDebate Mentions
Hillary/Clinton 21
ISIS 21
Jobs 20
Trump 17
Obama 13
Economy 10
Planned Parenthood 7
Obamacare 7
Reagan 6
Middle Class 2"
neutral,"RT @IndyUSA: This was @HillaryClinton’s response to the #GOPDebate - courtesy of @KimKardashian
 http://t.co/MUfdCn2tmR http://t.co/8Ekmkel…"
negative,"Yes, as a matter of fact. It IS all about the Donald. His feelers got hurt. He lashes out. Not a very presidential look.
#GOPDebate"
neutral,"""One Fish, Two Fish, Red Fish, Racist"" - Dr. Seuss's review of the #GOPDebate"
positive,Must admire @megynkelly for asking tough questions of all candidates and standing up for her fellow women. Proud of her. #gopdebate
neutral,"RT @FrankLuntz: Jeb Bush: “There should be a path for immigrants to stay here – not amnesty, but earned legal status.""

#GOPDebate"
negative,Oh good lord... #Stefon is a prophet! #GOPDebate #OMGOP  https://t.co/aALY6CqzdX
negative,I'm pretty sure Donald trump just said that he couldn't be held responsible for what he says in social media #GOPDebate
negative,Had VERY weird/slightly scary dreams last night and I'm blaming the #GOPDebate
positive,"Miss the format of CNN/YouTube #presidentialdebate of 07! So fun, informative--bring them back! #GOPDebate #DemDebate http://t.co/6NjA6P36UL"
positive,Christie with the #1 slam of the #GOPDebate http://t.co/4P1vQtIwXf
negative,"Passion is a good leadership trait to have. But it has to be sensible, not unhinged. #GOPDebate #tcot #DonaldTrump"
negative,"Honestly, the candidates that have all the money from establishment #GOP are a sign I shouldn't support them.
#GOPDebate"
neutral,"Last night, my TV watching involved plenty of laughter (#GOPDebate) and some tears (#JonVoyage). What an emotional night of TV!"
positive,@RandPaul did what the whole field should have done and went on the offensive against Trump and Christie. #GOPDebate
positive,RT @DrMwba: Tell the bimbo to shut the F up #DonaldTrump! Hahahaha #GOPDebate
neutral,The #GOPDebate tho! #NoWords
positive,Morning after: @marcorubio and @CarlyFiorina were the stars yesterday. @JohnKasich as runner-up. #GOPDebate
positive,Classic! @ChrisCarleyShow @FoxNews @msnbc #GOPDebate
negative,"RT @rodimusprime: So you ask about #BlackLivesMatter and then Straight Out of Compton commercial is up next? 

Product placement? #GOPDebate"
negative,RT @gnudarwin: Is Trump The Democrat ‘Wolf’ In GOP Clothing?  http://t.co/EBwX3o9OeU #standwithrand #gopdebate
neutral,All joking aside this election is extremely important and needs drastically smarter attention and issue education #GOPDebate
negative,"best part of #GOPDebate was @ScottWalker awkwardly nodding when he was in the side of a shot like ""Oh shit, I'm on camera, act like a human"""
negative,#Rand2016 did not survive proof reading his dad's newsletters as a kid. #GOPDebate #FoxDebate #HugsNotDrugs
negative,RT @PhillyD: Ted Cruz just looks untrustworthy. It looks like even his eyebrows don't trust him. #GOPDebate
negative,"""Nevermore, Gipper"" -Ronald Raven #GOPDebate"
negative,"RT @goldietaylor: Oh, hell. Just take a drink. #GOPDebate #BNRDebates http://t.co/EbqT2lJMw4"
negative,"Caught up on the #GOPDebate. It was an hour of Frankensteins singing ""Puttin' on the Ritz""."
negative,"quite frankly, the most disturbing thing about last night's debate was having to look at the terrible adobo tinged tans. #GOPDebate"
neutral,An unconventional way to watch the #GOPdebate  http://t.co/IrzH4232Tp
neutral,"Goodness, @CharmaineYoest &amp; I were there and didn't quite see the crowd reaction to support these numbers #GOPDebate https://t.co/a6QxUnKLOH"
negative,"Also, obviously John Kasich doesn't have a chance because he, for the most part, sounds like a reasonable human being. #GOPDebate"
negative,"RT @goldengateblond: ""It's only by the blood of Jesus Christ and cash from the Koch brothers that my sins are redeemed."" -- Scott Walker, c…"
neutral,RT @rikardorichards: #DonaldTrump and #JebBush clash over their respective plans for the #MiddleEast #GOPDebate http://t.co/zc1793pjGz
neutral,#GOPDebate Never lose focus on the truly important issues #DefundPP &amp
neutral,RT @RedheadAndRight: Meet the new darling of the left 》 Megyn Gotcha Kelly. #GOPDebate @FoxNews #DonaldTrump #MegynKelly
negative,"RT @ChrisJZullo: Last night they could have have raised their hands. I'm a spoiled billionaire, I'm an oligarch, I'm a racist, I'm a religi…"
negative,RT @laprofe63: #WishfulThinking! #GOPDebate showed quite plainly how NOT prepared any of those men (+1 woman) are 2 lead nation. https://t.…
negative,"RT @rumpfshaker: ""I have never gone bankrupt,"" says Trump who has multiple businesses that went thru bankruptcy, screwed creditors out of m…"
negative,"RT @monaeltahawy: #GOPDebates misogyny no surprise considering 10 men on a stage, pontificating about our bodies #WhereRWomen http://t.co/L…"
negative,"RT @Lrihendry: #WakeUpAmerica

Fox #GOPDebates freezes out #TedCruz for 44 minutes! 

http://t.co/OPdkTmBMLY

#fair
#tcot http://t.co/EfHEw…"
negative,"RT @Lrihendry: #WakeUpAmerica

Fox #GOPDebates freezes out #TedCruz for 44 minutes! 

http://t.co/OPdkTmBMLY

#fair
#tcot http://t.co/EfHEw…"
negative,"RT @Lrihendry: #WakeUpAmerica

Fox #GOPDebates freezes out #TedCruz for 44 minutes! 

http://t.co/OPdkTmBMLY

#fair
#tcot http://t.co/EfHEw…"
negative,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
neutral,WATCH: Who had the strongest moments and biggest losses at the #GOPDebates? http://t.co/vw1ovG7G32
neutral,"#WakeUpAmerica

Fox #GOPDebates freezes out #TedCruz for 44 minutes! 

http://t.co/OPdkTmBMLY

#fair
#tcot http://t.co/EfHEwOerPX"
positive,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
negative,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
negative,Does anyone think Dr. Carson or Huckabee deserve to be in the next debate more than Carly Fiorina? Because you're wrong #GOPDebates #tcot
neutral,"@DoriaBiddle #GOPDebates I have friends visiting from Japan (they speak English) and they are HORRIFIED + keep asking, ""How?"""
positive,RT @Lisa_Luerssen: 1st place Fiorina. 2nd place Jindal. #GOPDebates
neutral,"“@FoxNews: WATCH: Who had the strongest moments and biggest losses at the #GOPDebates? http://t.co/jL5DiJPXyF”
Losses. Megan Kelly"
neutral,Biggest Loss #FoxNews RT @FoxNews: WATCH: Who had the strongest moments and biggest losses at the #GOPDebates? http://t.co/EPWxeDtun1
neutral,"RT @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates"
neutral,I didn't watch the #GOPDebates the memes are good Friday fun. :)
negative,"RT @Rightwingpolok: Who had the MOST face time in the #GOPDebates? Why @megynkelly , of course. Is she running for something?She needs to.S…"
negative,"Sage advice for candidates on and off the debate stage!!!

#GOPDebates  #GOPHypocrisy  #p2  #tcot  #GorillaPig1... http://t.co/Fu6JOSo9Yd"
positive,RT @DoriaBiddle: The #GOPDebates were everything we could have hoped for and less.
neutral,"RT @FearDept: Sen. Perry calls for ""aviation assets"" (means spy drones) that ""identify what individuals are doing"" 24/7 #GOPDebates http://…"
negative,The #GOPDebates were everything we could have hoped for and less.
neutral,Why do I seem to be the only one that doesn't think Trump did well in the #GOPDebates ? I think the questions were fair and relevant. #tcot
negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
positive,"@kimguilfoyle Exceptional candidates in crowded field:almost all qualified for president, VP, or cabinet appointee #GOPDebates #RoadTo2016"
neutral,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
negative,"&gt;#GOPDebates
&gt;Trump says he's actually a zombie
&gt;Poll numbers skyrocket
&gt;American public dies immediately, still applauding as he eats them"
neutral,"RT @goconstance: #LOL #LMFAO #Repost @alecmapa with repostapp.
・・・
The official Democratic response to the #GOPDebates https://t.co/sGJDeb3…"
negative,My twitter time line has diverse people. EVERYONE was dogging @FOXNEWS and @megynkelly ALL NIGHT LONG. STILL GOING AND GOING. #GOPDEBATES
negative,"#LOL #LMFAO #Repost @alecmapa with repostapp.
・・・
The official Democratic response to the #GOPDebates https://t.co/sGJDeb3ujm"
positive,RT @monaeltahawy: Love Liza's cartoons! #GOPDebates  https://t.co/VkhQN0s7N4
negative,People overanalyze #GOPDebates. Surprising how horrible policies sound completely reasonable in soundbites.
negative,RT @LadiesForTrump: Replace #MegynKelly w/#RosieODonnell 4 Next #FoxNewsDebate... #TrumpIsRight #GOPDebates #TrumpTrain2016 #ActOfLove http…
negative,"RT @Rightwingpolok: Who had the MOST face time in the #GOPDebates? Why @megynkelly , of course. Is she running for something?She needs to.S…"
neutral,re: #GOPDebates in Cleveland https://t.co/RvPxm2IeYi
negative,Like The #GOPDebates Last Night - It Trended Than Fizzled
negative,"Who had the MOST face time in the #GOPDebates? Why @megynkelly , of course. Is she running for something?She needs to.She's not a journalist"
neutral,RT @steinhauserNH1: 2016 Watch: @NH1News back at #PHL less than 24 hours later. #NH bound after Cleveland #GOPDebates #nhpolitics #fitn htt…
neutral,RT @steinhauserNH1: 2016 Watch: @NH1News says goodbye to Cleveland
neutral,RT @steinhauserNH1: 2016 Watch: @NH1News says goodbye to Cleveland
negative,RT @monaeltahawy: Can someone tell me why Ben Carson is carrying water for people who will barely let him speak? Racism much? #GOPDebates
positive,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
positive,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
negative,RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates
negative,RT @Muxywithmoxie: Walker Emerges as Leading Candidate to Run Enterprise Rent-A-Car Branch http://t.co/X6QA8MUTa7 #GOPDebates
negative,RT @Muxywithmoxie: Walker Emerges as Leading Candidate to Run Enterprise Rent-A-Car Branch http://t.co/X6QA8MUTa7 #GOPDebates
neutral,RT @Muxywithmoxie: Walker Emerges as Leading Candidate to Run Enterprise Rent-A-Car Branch http://t.co/X6QA8MUTa7 #GOPDebates
positive,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
negative,"Last night 2 #GOPdebates proved the Right is against: science, health care, gays, women, civility, reality, or sanity."
neutral,RT @ericstonestreet: Trump has Cam hands. #GOPDebates
negative,"Sen. Perry calls for ""aviation assets"" (means spy drones) that ""identify what individuals are doing"" 24/7 #GOPDebates http://t.co/ipbSIczyIN"
positive,RT @DonnieWahlberg: Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next.
negative,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
neutral,"Morrissey foreshadowed the character of the #GOPDebates: ""If it's not love, then it's the bomb that will bring us together."""
negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
positive,RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates
negative,@DonnieWahlberg #GOPDebates were pathetic with no realistic solutions. I got drunk with my husband playing the GOPDebates drinking game.
neutral,RT @joeykramer: @Aerosmith Headed out to the #GOPDebates in Cleveland should be interesting #MotleyCrue
negative,The #GOPdebates in a nutshell... http://t.co/5UwVybTuB3
positive,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates"
positive,"@CarlyFiorina trumped 16 candidates,cleared 5 Fox hounds in 2 #GOPDebates  on 1 night in high heels. No sweat. #tcot https://t.co/bwbOTEVnXe"
negative,@FoxNews the #GOPdebates made me want to vote for Trump as a 3rd party candidate and I don't even like Trump #outnumbered
negative,"If I wanted to see grown men throw hissy fits, I would watch Will &amp; Grace. #GOPDebates"
negative,"Donald Trump gets called out for sexism at #GOPDebates, goes on Twitter after and calls Megyn Kelly a bimbo. Wow.

http://t.co/kfakVv5TKw"
negative,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
negative,RT @Kaore: Want to help small businesses Rubio? Protect them from greedy landlords and unfair rent practices.  #GOPDebates
positive,Love Liza's cartoons! #GOPDebates  https://t.co/VkhQN0s7N4
negative,"RT @RWSurferGirl: I am wondering what Fox is up to with THIS debate -- get rid of Trump, Paul, Cruz, Carson? 🇺🇸 #GOPDebates  #GOPDebate"
negative,"Chris Christie: If His Lips Are Moving, He's Still Lying https://t.co/4bh9A04MJd via @sharethis #GOPDebates  #ChrisChristie #elchubbo"
negative,This was me and my crew after the debates last night 😂😂 #GOPDebates #Republicans #Democrats #Trump… https://t.co/gXki90c6vS
neutral,RT @KateAronoff: FYI US defense spending compared to other countries #GOPDebates http://t.co/0l8Ct4fgCO
neutral,RT @KateAronoff: FYI US defense spending compared to other countries #GOPDebates http://t.co/0l8Ct4fgCO
negative,RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? #GOPDebate  #GOPDebates 🇺🇸
negative,RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? #GOPDebate  #GOPDebates 🇺🇸
neutral,"""@FoxNews: Miss one or both of the #GOPDebates? Want to see a segment again? Re-watch every minute with our playlist http://t.co/AlwVWQCrGj"""
positive,RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? #GOPDebate  #GOPDebates 🇺🇸
negative,"To me, when I see a debate hosted I need to see the moderator set up the field well. Not become the focal point! #foxnews #GOPdebates"
negative,RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates
negative,"I'm not usually one to miss political happenings, but it feels SO good to have ignored the #GOPDebates last night. #selfcare #dem4life"
positive,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
positive,RT @fieldnegro: The happiest person in America today after watching those debates is HRC. #GOPDebates.
positive,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
neutral,GOP Candidates Throw Out Their Best Hillary Clinton Zingers http://t.co/nSS1U3sALh VIDEO #TCOT #GOPDEBATES #TLOT #DEBATE #CCOT #HILLARY #GOP
negative,The #GOPDebates Showed How Fox News Enforces Republican Orthodoxy #partyvoice # http://t.co/rT96USI2NK
neutral,"Very impressed with both #GOPDebates last night. Not sure who to vote for yet, but do know it won't be #Hillary. Im neither democrat or GOP."
negative,RT @Jerry_Holbert: Refreshing. #GOPDebates http://t.co/45eM0dXrzs http://t.co/O5W4sC7uF7
negative,A couple more #GOPDebates like that one and #MegynKelly will be voting for Bernie Sanders.
negative,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
neutral,"The REAL WINNER of BOTH #GOPDebates! She'll be on the ""A"" team for sure now.  https://t.co/Z2uf9hidgt"
negative,THE GREATEST LET DOWN IN TELEVISION HISTORY: #GOPDebates!  ALL WE DID WAS HELP #KlanManTV aka @Foxnews SWELL THE RANKS OF THEIR RATINGS
negative,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
negative,RT @KLSouth: .@marthamaccallum &amp
positive,#gopdebates @BillHemmer thank God the early debate was handled professionally and without SHOCK value soundbite personal advancement for FOX
neutral,RT @Debber66: Who do you think won the #GOPDebates ? - don't just say the person you are supporting - be honest!
negative,.@marklevinshow .@BillHemmer @marthamaccallum @BretBaier did fine. No more @megynkelly or @FoxNewsSunday Chris Wallace. at next #GOPDebates
positive,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
neutral,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
negative,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
negative,RT @kwrcrow: @marilynarndt @princeofbordue1 I think @megynkelly was vicious and very unprofessional last night. She lost me also. #GOPDebat…
negative,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
negative,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw
negative,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
negative,@drshow Misogyny is good for ratings. #GOPDebates
negative,RT @BettyFckinWhite: So Donald Trump is Biff from Back to the Future 2? #GOPDebates #womensrights  #combover http://t.co/IS9GYB7P31
positive,RT @kimguilfoyle: Two great debates! Who were your favorites? Let me know your thoughts #GOPDebates #RoadTo2016
negative,"2016 News: @JohnSununu at #GOPDebates for @JohnKasich
tells @NH1News @realDonaldTrump language &amp; answers ""clearly aren’t presidential"" #fitn"
negative,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
neutral,Strong showing: @CarlyFiorina @Jeb2016 @marcorubio @JohnKasich More analysis of future #GOPDebates #DemocratDebates  https://t.co/aXG2KMXApd
negative,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
negative,RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? #GOPDebate  #GOPDebates 🇺🇸
neutral,RT @fieldnegro: The happiest person in America today after watching those debates is HRC. #GOPDebates.
neutral,HUCKABEE/HULK 2016  #GOPDebates
neutral,RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? #GOPDebate  #GOPDebates 🇺🇸
positive,RT @DonnieWahlberg: Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next.
negative,RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? #GOPDebate  #GOPDebates 🇺🇸
positive,RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? #GOPDebate  #GOPDebates 🇺🇸
positive,RT @DonnieWahlberg: Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next.
negative,RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? #GOPDebate  #GOPDebates 🇺🇸
negative,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
negative,"@realDonaldTrump looks better in this video than he did last night in the #GOPDebates. #WomenAgainstTrump
https://t.co/LWpfGDCnaS"
neutral,“Are We Being Punk’d?” Twitter Has A Field Day With Round 1 Of The #GOPDebates http://t.co/3QiNxty4E5
positive,RT @fieldnegro: The happiest person in America today after watching those debates is HRC. #GOPDebates.
negative,"RT @monaeltahawy: Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I …"
negative,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
negative,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
negative,An assassination attempt by RNC ...now GOP has to deal w/ th consequences #GOPDebate #GOPDebates @BillHemmer
positive,Huff Post is praising @megynkelly. That should tell you something. #GOPDebates @foxnewspolitics
positive,…#Trump wasn't going to play their PC game #GOPDebate #GOPDebates @BillHemmer
positive,"To start th evening, RNC moderators dropped Atom Bomb on #Trump 
...Trump kicked it thru th uprights #GOPDebate #GOPDebates
@BillHemmer"
neutral,Missed the dang #GOPDebates. Where can I catch them now? Anyone record them?
neutral,RT @Jerry_Holbert: Refreshing. #GOPDebates http://t.co/45eM0dXrzs http://t.co/O5W4sC7uF7
negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
negative,Walker Emerges as Leading Candidate to Run Enterprise Rent-A-Car Branch http://t.co/X6QA8MUTa7 #GOPDebates
negative,"RT @monaeltahawy: Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I …"
negative,"RT @monaeltahawy: #GOPDebates misogyny no surprise considering 10 men on a stage, pontificating about our bodies #WhereRWomen http://t.co/L…"
neutral,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
positive,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
neutral,"Miss the debate last night? No worries, we blogged it for ya:http://t.co/GP58n0DDB2  #GOPDebates"
positive,RT @DonnieWahlberg: Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next.
negative,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
negative,RT @KLSouth: .@marthamaccallum &amp
positive,After watching the #GOPdebates I've made my decision! I'm voting for @megynkelly OMG! Where has she been all my life ? She is so HOT
neutral,"Post-debate picture of the GOP candidates. 
#GOPDebates http://t.co/98g3AVLQ7q"
negative,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
negative,RT @KLSouth: .@marthamaccallum &amp
neutral,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
negative,RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates
negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
negative,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
negative,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
positive,Oh gurrrrrlll!  :D #GOPDebates #IWonderHowManySmartRepublicansHadItchySlappingHandsLastNight http://t.co/JziZ1zvXDj
negative,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
negative,RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates
positive,Loved @BillHemmer and @marthamaccallum Ditch Kelly &amp
negative,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
negative,#GOPDebates = clowns &amp
negative,Not one question about Congressional term limits? Really? FOX really flubbed the dub.  #GOPDebates
negative,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
positive,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
positive,RT @kimguilfoyle: Two great debates! Who were your favorites? Let me know your thoughts #GOPDebates #RoadTo2016
positive,Bernie Sanders gained over 10K new likes and growing from the #GOPDebates #DebatewithBernie #feelthebern
neutral,RT @fieldnegro: The happiest person in America today after watching those debates is HRC. #GOPDebates.
negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
negative,@Marmel I don't see any winners in the #GOPDebates .
negative,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
positive,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
negative,"RT @b140tweet: @ZonkerPA 
A rare view from behind the stage at the #GOPDebate  A behind the scene look at candidates.. #GOPDEBATES http://t…"
negative,RT @fieldnegro: The happiest person in America today after watching those debates is HRC. #GOPDebates.
neutral,RT @RitaCosby: Taking your calls now on @77wabcradio about yesterday's #GOPDebates Who won and why??? Call me: 800 848 9222
positive,#GOPDebate #GOPDebates Carly Fiorina won 1st round Marco Rubio led 2nd round
negative,"RT @b140tweet: @ZonkerPA 
A rare view from behind the stage at the #GOPDebate  A behind the scene look at candidates.. #GOPDEBATES http://t…"
negative,RT @KLSouth: .@marthamaccallum &amp
neutral,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
positive,RT @fieldnegro: The happiest person in America today after watching those debates is HRC. #GOPDebates.
negative,RT @fieldnegro: The happiest person in America today after watching those debates is HRC. #GOPDebates.
negative,RT @KLSouth: .@marthamaccallum &amp
negative,RT @KLSouth: .@marthamaccallum &amp
negative,I thought the questions were fair and balanced. Really! @realdonaldtrump Stop whining.@foxnews #gopdebates http://t.co/shILDADfPn
negative,RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates
negative,.@marthamaccallum &amp
negative,@FoxNews @realDonaldTrump best line of the night #GOP #GOPDebate #GOPDebates
negative,RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates
neutral,"RT @SCalaisS: Who won the #GopDebates?

OBAMA OBAMA OBAMA ! 😂👏👏

#Obama2016"
neutral,"Who won the #GopDebates?

OBAMA OBAMA OBAMA ! 😂👏👏

#Obama2016"
negative,The American people won the #GOPDebates last night in one sense. Engagement. A 16 market share is the largest ever. #civics
negative,RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates
negative,"Calling women dehumanizing names isn't a lack of political correctness, it's a lack of basic decency and respect. #gopdebates"
negative,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
negative,"Decent human beings? Geez...they're all #Politicians but one, what'd u expect?! #GOPDebates @LemonMeringue19 @KenCageRepo @JOHNNYLAUNONEN"
negative,"#GOPDebates I wish that they could be done while the candidates were connected to lie detectors, or maybe by scientologists lol"
neutral,Taking your calls now on @77wabcradio about yesterday's #GOPDebates Who won and why??? Call me: 800 848 9222
negative,RT @kwrcrow: @marilynarndt @princeofbordue1 I think @megynkelly was vicious and very unprofessional last night. She lost me also. #GOPDebat…
positive,.@loudobbsnews thank you for having me on during the #GOPDebates. I Look forward to the next time! http://t.co/hdoTYsZDrF #tcot
positive,RT @keriRN: http://t.co/VAGYIuZ5J8 #dumbassSexist Donald Trump made case for campaign finance reform....#GOPDebates
negative,"RT @PuestoLoco: Cancel the primaries. Fox Party set up &amp; anointed their man Jeb Bush
#GOPDebates #CantTrustABush #morningjoe http://t.co/bg…"
positive,http://t.co/VAGYIuZ5J8 #dumbassSexist Donald Trump made case for campaign finance reform....#GOPDebates
neutral,RT @erictheteamster: Walkers main talking point was that he took on 100s of 1000s of union protesters and won. Waiting to hear how that hel…
negative,RT @fieldnegro: The happiest person in America today after watching those debates is HRC. #GOPDebates.
negative,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
neutral,"So, what do I think about the #GOPDebates last night?"
